_id,Project,Province,District,Municipality,Capacity (MW),River,Lic No,Isuue Date,Validity,Promoter,Address,Longitude,Latitude,License Type
1,Aayu Chhatigad Hydropower Project,Province 7,DARCHULA,Apihimal,13.942,Chatti Gad,798,2073-12-21,2075-12-20,Puwa Khola-1 Hydro Power Pvt.Ltd.,"Anamnagar-32,Kathmandu,Nepal. GPO 20863, 4102710, Kadam KC 9851159634",80.88152778,29.82013889,Survey
2,Aayu Malun Khola Hydro-Electric Project,Province 1,SOLUKHUMBU,Solududhakunda,21.0,Malun,807,2074-01-15,2076-01-14,Puwa Khola-1 Hydropower Private Limited,"Anamnagar-32, Kathmandu Nepal",86.42555556,27.37694444,Survey
3,Adhikhola Storage HEP,Province 5,PALPA,Bagnaskali,180.0,Adhikhola,821,2074-02-04,2076-02-03,Nepal Electricity Authority,"Nepal Electricity Authority, Central Office Durbarmarg, Kathmandu 4153054,4153055,4153007",83.66666667,27.95,Survey
4,Akhu Khola-2 HPP,Province 4,GORKHA,Aarughat,20.0,Akhu Khola,749,2073-07-29,2075-07-28,Gorakshya Hydropower Pvt. Ltd.,"House no.319,Babarmahal, Kathmandu, 4219730,4225281",84.96263889,28.04013889,Survey
5,Andhi Khola,Province 4,SYANGJA,Bhirkot,9.4,Andhi Khola,2_gtd,2052-01-08,2101-12-30,Butwal Power Company,0,83.68097222,27.93833333,Operation
6,Ankhu Khola,Province 3,NUWAKOT,Kispang,42.9,Ankhu Khola,184,2073-10-27,2108-10-26,Ankhu Hydropower Pvt. Ltd,"P.O. Box 19554, Kathmandu, Nepal, Phone no 4033752, 4033753, email: ankhuhp@gmail.com",84.99916667,28.09166667,Generation
7,Ankhu Khola - 1,Province 3,DHADING,Tripura Sundari,7.0,Ankhu Khola,32,2066-08-26,2101-08-25,Ankhu Jalvidut Co. Pvt. Ltd,"Kathmandu, Phone 01-4286228, 9841545350, 9851072170",84.91597222,28.0125,Operation
8,Apsuwa I HEP,Province 1,SANKHUWASABHA,Makalu,23.0,Apsuwa,963,2074-08-28,2076-08-27,Ram Janaki Hydropower Pvt. Ltd,"Trade Tower Thapathali, Kathmandu",87.14375,27.6,Survey
9,Arun 3,Province 1,SANKHUWASABHA,Chichila,900.0,Arun,375,2065-04-03,2068-10-02,Satluj Jal Vidyut Nigam Limited,"Saket New Delhi India 110017, Phone +91-11-41659207",87.26666667,27.54166667,Survey
10,Arun Khola 2 HEP,Province 5,PALPA,Nisdi,2.16,Arun Khola,839,2074-02-24,2076-02-23,Himalayan Engineering and Energy Pvt. Ltd.,"Sinamangal -9, Kathmandu, mob no. 9851018901,01-4465976",83.895,27.73041667,Survey
11,Arung Khola,Province 4,NAWALPARASI_E,Madhyabindu,2.0,Arung,704,2072-04-12,2075-04-11,Shakti Hydropower Pvt. Ltd,"House No.545,Bagbazar,Kathmandu-31",83.94902778,27.7,Survey
12,Badigad HPP,Province 4,BAGLUNG,Dhorpatan,6.6,Badigad,129,2071-09-17,2106-09-16,Water and Energy Nepal Pvt Ltd,"P. O. Box : 4610, Panipokhari , Kathmandu, Phone: 01-4435485, Fax: 01-4435485",83.17291667,28.32875,Generation
13,Badigad Khola HPP,Province 4,BAGLUNG,Taman Khola,24.6,Badigad,777,2073-09-14,2075-09-13,Liberty Energy co. Ltd.,"Thapathali, KTM, 4238241, 4226946",83.17861111,28.29125,Survey
14,Bagar Khola Hydro-Electric Project,Province 4,MYAGDI,Raghuganga,5.5,Bagar Khola,795,2073-12-13,2075-12-12,Lalita Mahat,"Kathmandu Metropolitan City, Ward No. 11 Kathmandu",83.53208333,28.48333333,Survey
15,Bagmati Nadi,Province 3,LALITPUR,Konjyosom,22.0,Bagmati,125,2071-03-19,2106-03-18,Mandu Hydropower Pvt. Ltd.,"Kamaladi 13,Kathmandu.Tel no. 4169088",85.24208333,27.52375,Generation
16,Balephi,Province 3,SINDHUPALCHOK,Jugal,23.52,Balephi,191,2073-12-16,2108-12-15,Balephi Jalbidhut Company Ltd,"GPO Box:772, Kathmandu Ph. No. 01-4224074,4428732, Fax:01-4266133",85.75833333,27.87833333,Generation
17,Balephi A,Province 3,SINDHUPALCHOK,Jugal,10.6,Balephi,132,2072-01-06,2107-01-05,Moonlight Hydropower Company Pvt. Ltd.,"Kamaladi, Kathmandu, Phone 01-4474328,4462844",85.76263889,27.85416667,Generation
18,Balephi Cascade HPP,Province 3,SINDHUPALCHOK,Barhabise,17.22,Balephi,980,2074-10-22,2076-10-21,Moon Light Hydropower Company Pvt. Ltd.,"Kalopul-7, Ktm.",85.76805556,27.82666667,Survey
19,Balephi Khola HEP,Province 3,SINDHUPALCHOK,Jugal,42.14,Balephi,894,2074-05-19,2076-05-18,B.G Hydro Investment Co. Ltd.,"Durbarmanrga Kathmandu, Phone no 4228816, 4225364",85.7925,27.96666667,Survey
20,Baramchi Khola HPP,Province 3,SINDHUPALCHOK,Barhabise,4.2,Baramchi,33,2066-10-26,2101-10-25,Unique Hydel Pvt Ltd,"Thulo Bharyang, Kathmandu Phone 01-4672598,4672599",85.79069444,27.84736111,Operation
21,Begnas- Rupa Storage Project,Province 4,KASKI,Pokhara Lekhnath,150.0,Begnas - Rupa,938,2074-07-23,2076-07-22,Nepal Electricity Authority,"Durbar Marg , Kathmandu",84.11458333,28.16875,Survey
22,Betan Karnali HP,Province 7,ACHHAM,Dhakari,688.0,Karnali,820,2074-02-07,2076-02-06,Betan Karnali Sanchayakarta Hydropower Company Ltd,Lalitpur,81.30347222,28.89180556,Survey
23,Bhabil 1 Hydropower Project,Province 3,DHADING,Rubi Valley,13.86,Bhabil Khola,859,2074-03-18,2076-03-17,Khare Investment Limited,"Blue star Complex, Tripureshwar Kathmandu, Ph. 01-4101140",85.12083333,28.21097222,Survey
24,Bhairab Kund Khola,Province 3,SINDHUPALCHOK,Bhotekoshi,3.0,Bhairab Kund,30,2066-05-19,2101-05-18,Bhairabkund Hydropower Pvt. Ltd.,"Minbhawan Kathmandu, Phone01-4482201, Fax 01-4482008",85.93625,27.93638889,Operation
25,Bhalaudi Khola HEP,Province 4,KASKI,Machhapuchchhre,4.5,Bhalaudi,939,2074-07-23,2076-07-22,Bhalaudi Khola Hydropower Pvt. Ltd.,Banasthali Kathmandu,83.9675,28.38333333,Survey
26,Bheri 4,Province 6,JAJARKOT,Chhedagad,300.0,Bheri,829,2074-02-12,2076-02-11,Bhery Energy Pvt. Ltd,"Juwagal-10, Kupondole",82.12083333,28.63958333,Survey
27,Bheri Nadi-8 (BR-8) HEP,Province 6,DOLPA,Kaike,125.0,Bheri,986,2074-11-10,2076-11-09,Dugar Brothers and Sons Pvt. Ltd,"Ka. Ma. Na. Pa-10, Kantipath",82.99486111,28.90597222,Survey
28,Bheri-1 HEP,Province 6,RUKUM_W,Aathbiskot,440.0,Bheri,1012,2075-02-15,2077-02-14,Gezhouba Group Power Investment Nepal Pvt. Ltd.,Chuchepati Kathmandu,82.51444444,28.93319444,Survey
29,Bheri-2 HEP,Province 6,JAJARKOT,Tribeni Nalagad,256.0,Bheri,975,2074-09-24,2076-09-23,Gezhouba Group Power Investment Nepal Pvt. Ltd.,"Kathmandu, Chuchepati Baudha",82.37791667,28.82291667,Survey
